id,neighbourhood,LAT_LONG
1905,SoHo,"40.72509, -74.00304"
1906,Midtown,"40.76365, -73.98149"
1907,East Village,"40.72296, -73.98322"
1908,East Village,"40.72582, -73.9886"
1909,Theater District,"40.75861, -73.98683"
1910,East Village,"40.72885, -73.98103"
1911,Chelsea,"40.74358, -74.00027"
1912,Midtown,"40.75055, -73.98679"
1913,Upper East Side,"40.77963, -73.94864"
1914,Kips Bay,"40.7436, -73.98122"
1915,Upper West Side,"40.78342, -73.97312"
1916,East Village,"40.72723, -73.98466"
1917,Hell's Kitchen,"40.76304, -73.99166"
1918,Washington Heights,"40.84996, -73.93937"
1919,Gramercy,"40.73792, -73.98306"
1920,Midtown,"40.74512, -73.98212"
1921,Hell's Kitchen,"40.76078, -73.99864"
1922,East Village,"40.72367, -73.98244"
1923,East Harlem,"40.80931, -73.93982"
1924,Hell's Kitchen,"40.75402, -73.99318"
1925,West Village,"40.73433, -74.00588"
1926,Hell's Kitchen,"40.76242, -73.98813"
1927,Hell's Kitchen,"40.76073, -73.99032"
1928,Morningside Heights,"40.80557, -73.96441"
1929,Upper East Side,"40.77795, -73.94653"
1930,Hell's Kitchen,"40.76211, -73.99791"
1931,Hell's Kitchen,"40.75797, -73.991"
1932,East Village,"40.73061, -73.98409"
1933,Midtown,"40.75361, -73.97215"
1934,Chelsea,"40.7518, -73.9969"
1935,Upper East Side,"40.76435, -73.95782"
1936,East Harlem,"40.79052, -73.94838"
1937,Upper East Side,"40.78284, -73.94825"
1938,Harlem,"40.81809, -73.94168"
1939,Nolita,"40.72196, -73.99664"
1940,Battery Park City,"40.7068, -74.01775"
1941,West Village,"40.73792, -74.00063"
1942,Upper East Side,"40.76387, -73.9618"
1943,SoHo,"40.72109, -73.99972"
1944,East Village,"40.72342, -73.98871"
1945,Chelsea,"40.74124, -74.00025"
1946,Upper East Side,"40.7787, -73.94775"
1947,Nolita,"40.72217, -73.99375"
1948,Greenwich Village,"40.73104, -73.99708"
1949,Upper East Side,"40.77247, -73.95792"
1950,Harlem,"40.81049, -73.95311"
1951,Upper East Side,"40.77712, -73.95176"
1952,Kips Bay,"40.74182, -73.97898"
1953,Murray Hill,"40.74956, -73.97668"
1954,Hell's Kitchen,"40.76377, -73.98734"
1955,East Harlem,"40.79245, -73.94563"
1956,East Village,"40.72753, -73.98749"
1957,Chelsea,"40.74281, -73.99595"
1958,Washington Heights,"40.84714, -73.94172"
1959,Upper West Side,"40.79351, -73.9698"
1960,Upper West Side,"40.79917, -73.96795"
1961,Murray Hill,"40.74838, -73.98108"
1962,Hell's Kitchen,"40.76838, -73.98723"
1963,Hell's Kitchen,"40.76102, -73.98874"
1964,Morningside Heights,"40.80413, -73.96416"
1965,SoHo,"40.72277, -74.00464"
1966,Harlem,"40.82263, -73.95181"
1967,Midtown,"40.74708, -73.98513"
1968,Civic Center,"40.71195, -74.00757"
1969,Roosevelt Island,"40.76213, -73.94889"
1970,Harlem,"40.81257, -73.94606"
1971,East Village,"40.72333, -73.98838"
1972,SoHo,"40.7251, -74.00775"
1973,Upper West Side,"40.80129, -73.96611"
1974,Harlem,"40.81847, -73.95259"
1975,Lower East Side,"40.71275, -73.98682"
